0:00:08.896997940 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8896994243, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897047052 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897042904, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897088480 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897084863, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897116442 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897113446, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897126070 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897123545, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897138393 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897135858, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897149183 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897146548, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897158310 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897155806, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897168620 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897166095, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897177536 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897175082, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
